scenario	page	skin	requested_window	app_pid	window_id	width	height	bytes	sha256	status
overview-light	overview	light	1180x780	21487	2	1180	780	98563	4c406123b50e3c2efa528ce8371046c3cf22af127cb8f7946346098ccf9261f1	ok
overview-dark	overview	dark	1180x780	21700	3	1180	780	109203	ba90fc17dc0ce92c4cd8d784ab710748b940acdd17f9d12aa7bac1439c161d9c	ok
overview-forest	overview	forest	1180x780	21937	4	1180	780	102122	4cb979a79c470aa5c90b543684152fac38f04da31a049c468144803faa6811a2	ok
proxies-light	proxies	light	1180x780	22142	5	1180	780	110813	fb69f3124fbc2730f2fd34ed883770b6345ee36b0e3b4a259100bc5ec0df1d00	ok
proxies-dark	proxies	dark	1180x780	22349	6	1180	780	124516	34ca6209d45bce47aa82f013688d0825fe74b3b8335ea2b0ad31a0d3311401aa	ok
proxies-forest	proxies	forest	1180x780	22557	7	1180	780	115170	0c5ece40054f2a9faae9cd085a33e0a83f3a4dc5df41106bc2aae88d9386896d	ok
runtime-light	runtime	light	1180x780	22803	8	1180	780	109705	54c05554907c1600baa157ad07158bec651852fb9e1eddfe62530812b4eafb3c	ok
runtime-dark	runtime	dark	1180x780	23050	9	1180	780	123085	420d2c01369a00ebd075b057613169b16b4e85562cc241f067a63b10dc3ffcb9	ok
runtime-forest	runtime	forest	1180x780	23260	10	1180	780	114115	b749d47637cbafb7d0c8385dc9d59c4476e6f71dabe01a6fa12fcdaee36ee3e1	ok
rules-light	rules	light	1180x780	23470	11	1180	780	93406	6a60cb3e0608206d84edba69f190ce4ca2606a03ebcdd211f3a8f5dabaf7cf95	ok
rules-dark	rules	dark	1180x780	23677	12	1180	780	105285	db114c8330eee37f0134b01ec856752619e6d62946368f9946d1eba6ef21dbc5	ok
rules-forest	rules	forest	1180x780	23931	13	1180	780	96510	e5b75e70646647a705d84e839a179f1ef5fa782ea6ec975c717219909d8a8456	ok
dns-light	dns	light	1180x780	24148	14	1180	780	111900	73eb3d930236530483f8904b34b226b958d4d7b62dbb9199f44244344915ec31	ok
dns-dark	dns	dark	1180x780	24353	15	1180	780	126340	8493607bfd0ee7d864495068e2971eca462ca6a756fb7cafe2266ad1ff1b950b	ok
dns-forest	dns	forest	1180x780	24566	16	1180	780	115847	2952f10b7a78700c68e45b6f9f6120d0716442b2b55129e22292c663f01ff8dc	ok
profiles-light	profiles	light	1180x780	24787	17	1180	780	98719	6cf8f41b917af336824783d3378e2a0ecf31c5ef69ce8414f8c882eb8b33a418	ok
profiles-dark	profiles	dark	1180x780	25053	18	1180	780	111641	857bba3efb80be24798366a6e3669b24f1fcf8a5ebca78910e8e5b600ffca661	ok
profiles-forest	profiles	forest	1180x780	25276	19	1180	780	103190	39ef86ab4db9b1466e9d0b8e5a8eed003d7bb188b0c89aa471bed57e4d52f57c	ok
