name	page	skin	window_size
overview-light	overview	light	1180x760
overview-dark	overview	dark	1180x760
overview-live	overview	dark	1180x760
overview-mobile-portrait-dark	overview	dark	390x844
overview-mobile-portrait-light	overview	light	390x844
overview-tablet-landscape	overview	dark	1024x768
overview-mobile-landscape	overview	dark	844x390
proxies-dark	proxies	dark	1180x760
proxies-light	proxies	light	1180x760
profiles-dark	profiles	dark	1180x760
profiles-light	profiles	light	1180x760
rules-dark	rules	dark	1180x760
rules-light	rules	light	1180x760
connections-dark	connections	dark	1180x760
connections-light	connections	light	1180x760
logs-dark	logs	dark	1180x760
logs-light	logs	light	1180x760
dns-dark	dns	dark	1180x760
dns-light	dns	light	1180x760
doctor-dark	doctor	dark	1180x760
doctor-light	doctor	light	1180x760
app-routing-dark	app_routing	dark	1180x760
app-routing-light	app_routing	light	1180x760
sync-dark	sync	dark	1180x760
sync-light	sync	light	1180x760
settings-dark	settings	dark	1180x760
settings-light	settings	light	1180x760
