name	page	skin	window_size
overview-light	overview	light	1180x780
overview-dark	overview	dark	1180x780
overview-forest	overview	forest	1180x780
proxies-light	proxies	light	1180x780
proxies-dark	proxies	dark	1180x780
proxies-forest	proxies	forest	1180x780
runtime-light	runtime	light	1180x780
runtime-dark	runtime	dark	1180x780
runtime-forest	runtime	forest	1180x780
rules-light	rules	light	1180x780
rules-dark	rules	dark	1180x780
rules-forest	rules	forest	1180x780
dns-light	dns	light	1180x780
dns-dark	dns	dark	1180x780
dns-forest	dns	forest	1180x780
profiles-light	profiles	light	1180x780
profiles-dark	profiles	dark	1180x780
profiles-forest	profiles	forest	1180x780
sync-light	sync	light	1180x780
sync-dark	sync	dark	1180x780
sync-forest	sync	forest	1180x780
editor-light	editor	light	1180x780
editor-dark	editor	dark	1180x780
editor-forest	editor	forest	1180x780
mixin-light	mixin	light	1180x780
mixin-dark	mixin	dark	1180x780
mixin-forest	mixin	forest	1180x780
filter-light	filter	light	1180x780
filter-dark	filter	dark	1180x780
filter-forest	filter	forest	1180x780
settings-light	settings	light	1180x780
settings-dark	settings	dark	1180x780
settings-forest	settings	forest	1180x780
app-routing-light	app_routing	light	1180x780
app-routing-dark	app_routing	dark	1180x780
app-routing-forest	app_routing	forest	1180x780
doctor-light	doctor	light	1180x780
doctor-dark	doctor	dark	1180x780
doctor-forest	doctor	forest	1180x780
